ts_code,inputs,pr_value,strategy,error
000001.SZ,"{'pe': 5.3847, 'roe': 10.08, 'dividend_payout_ratio': 0.19363097253848696}",1.0683928571428571,dividend_correction,
000002.SZ,"{'pb': 0.4112, 'roe': -21.82}",0.08636616059569127,pb_roe_squared,
000027.SZ,"{'pb': 0.9965, 'roe': 4.47}",4.987262836008389,pb_roe_squared,
000039.SZ,"{'pb': 0.9473, 'roe': 6.0}",2.631388888888889,pb_roe_squared,
000063.SZ,"{'pe': 19.5264, 'roe': 11.97, 'dividend_payout_ratio': 0.26215638302104466}",3.111269267393292,dividend_correction,
000066.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
000100.SZ,"{'pb': 1.6006, 'roe': 2.95}",18.392415972421716,pb_roe_squared,
000157.SZ,"{'pb': 1.1789, 'roe': 6.24}",3.0276647764628533,pb_roe_squared,
000158.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
000166.SZ,"{'pb': 1.2777, 'roe': 5.08}",4.951097402194804,pb_roe_squared,
000301.SZ,"{'pb': 1.789, 'roe': -6.73}",3.949846443923882,pb_roe_squared,
000333.SZ,"{'pe': 14.4881, 'roe': 21.29}",0.6805119774542039,basic,
000338.SZ,"{'pb': 1.5767, 'roe': 13.69}",0.8412831128168817,pb_roe_squared,
000408.SZ,"{'pb': 5.1111, 'roe': 19.4}",1.3580348602401957,pb_roe_squared,
000423.SZ,"{'pb': 3.3104, 'roe': 14.6}",1.5530118221054607,pb_roe_squared,
000425.SZ,"{'pb': 1.6998, 'roe': 10.3}",1.6022245263455552,pb_roe_squared,
000426.SZ,"{'pb': 4.0996, 'roe': 21.28}",0.9053119170105715,pb_roe_squared,
000513.SZ,"{'pe': 18.318, 'roe': 14.43}",1.2694386694386695,basic,
000519.SZ,"{'pb': 2.9917, 'roe': -3.19}",29.399278702056776,pb_roe_squared,
000538.SZ,"{'pb': 2.6094, 'roe': 11.99}",1.8151072515948445,pb_roe_squared,
000564.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
000568.SZ,"{'pe': 13.6379, 'roe': 30.44}",0.4480256241787122,basic,
000596.SZ,"{'pe': 13.6604, 'roe': 23.89}",0.5718041021347844,basic,
000617.SZ,"{'pb': 1.1065, 'roe': 4.61}",5.2065442944461955,pb_roe_squared,
000625.SZ,"{'pb': 1.7066, 'roe': 9.69}",1.8175408776296356,pb_roe_squared,
000630.SZ,"{'pb': 1.4104, 'roe': 8.54}",1.9338668012219675,pb_roe_squared,
000651.SZ,"{'pe': 8.1451, 'roe': 25.42, 'dividend_payout_ratio': 0.3922406121933384}",0.4084494548016033,dividend_correction,
000657.SZ,"{'pb': 4.7215, 'roe': 12.53}",3.0073076014213935,pb_roe_squared,
000661.SZ,"{'pb': 1.8871, 'roe': 11.66}",1.3880266792982414,pb_roe_squared,
000708.SZ,"{'pb': 1.7186, 'roe': 13.05}",1.0091454911114046,pb_roe_squared,
000725.SZ,"{'pb': 1.1845, 'roe': 4.05}",7.221460143270844,pb_roe_squared,
